journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Хеллер Джозеф,Что-то случилось: Главы из книги,1978,4,Joseph Heller,Something Happened,1974,,,1970s,Brezhnev
IL,,,Хемингуэй Эрнест,Зеленые холмы Африки: Главы из книги,1959,7,Ernest Hemingway ,Green Hills of Africa,1935,,,1950s,Khrushchev
IL,,,Хемингуэй Эрнест,Ночь перед боем,1964,2,Ernest Hemingway ,Night Before Battle,1939,,,1960s,Brezhnev
IL,,,Хемингуэй Эрнест,Нужна собака-поводырь,1958,8,Ernest Hemingway ,Get a Seeing-Eyed Dog,1957,,,1950s,Khrushchev
IL,,,Хемингуэй Эрнест,О писательстве,1973,6,Ernest Hemingway ,On Writing,1972,,,1970s,Brezhnev
IL,,,Хемингуэй Эрнест,Опасное лето: Главы из новой книги,1961,2,Ernest Hemingway ,The Dangerous Summer,1960,,,1960s,Khrushchev
IL,,,Хемингуэй Эрнест,Острова в океане: Роман,1970,"11, 12",Ernest Hemingway ,Islands in the Stream,1970,,,1970s,Brezhnev
IL,,,Хемингуэй Эрнест,"Праздник, который всегда с тобой. (Страницы автобиографии)",1964,7,Ernest Hemingway ,A Moveable Feast,1964,,,1960s,Brezhnev
IL,,,Хемингуэй Эрнест,Разоблачение,1963,8,Ernest Hemingway ,The Denunciation,1938,,,1960s,Khrushchev
IL,,,Хемингуэй Эрнест,Старик и море: Повесть,1955,3,Ernest Hemingway ,The Old Man and the Sea,1952,,,1950s,Khrushchev
IL,,,Хови Тамара,Стремления маленькой  мошки: Повесть,1969,"11, 12",Tamara Hovey,ЖУРНАЛЬНАЯ ПУБЛИКАЦИЯ,,,,1960s,Brezhnev
IL,,,Хок Эдвард Д.,Самый лучший зоопарк: Рассказ,1985,11,Edward D. Hoch,Zoo,1958,,,1980s,Gorbachev
IL,,,Хьюз Лэнгстон,Его последний роман,1964,5,Langston Hughes,His Last Affair,,,,1960s,Brezhnev
IL,,,Хьюз Лэнгстон,Симпл предъявляет счет. (Рассказы): Гольф и гуф,1958,12,Langston Hughes,Golfing and Goofing,,,,1950s,Khrushchev
IL,,,Хьюз Лэнгстон,С благоразумной неторопливостью,1958,12,Langston Hughes,With All Deliberate Speed,,,,1950s,Khrushchev
